integrated_category_index,integrated_category_id,integrated_category_label
598,17086,Kitchen Supply Store
599,17087,Lighting Store
600,17088,Mattress Store
601,17101,Garden Center
602,17089,Gift Store
603,17090,Hardware Store
604,17091,Hobby Store
605,17092,Knitting Store
606,17093,Leather Goods Store
607,17094,Luggage Store
608,17095,Medical Supply Store
609,17096,Miscellaneous Store
610,17097,Mobility Store
611,17098,Music Store
612,17100,Newsstand
613,17102,Office Supply Store
614,17103,Outdoor Supply Store
615,17104,Outlet Mall
616,17105,Outlet Store
617,17106,Packaging Supply Store
618,17107,Party Supply Store
619,17108,Pawn Shop
620,17109,Perfume Store
621,17110,Pet Supplies Store
622,17111,Pop-Up Store
623,17112,Print Store
624,17113,Record Store
625,17114,Shopping Mall
626,17115,Shopping Plaza
627,17116,Souvenir Store
628,17117,Sporting Goods Retail
629,17118,Baseball Store
630,17119,Bicycle Store
631,17120,Dive Store
632,17121,Fishing Store
633,17122,Golf Store
634,17123,Gun Store
635,17124,Hunting Supply Store
636,17125,Running Store
637,17126,Skate Store
638,17127,Ski Store
639,17128,Soccer Store
640,17129,Surf Store
641,17130,Tennis Store
642,17131,Stationery Store
643,17132,Supplement Store
644,17133,Swimming Pool Supply Store
645,17134,Tobacco Store
646,17135,Toy / Game Store
647,17136,Vaporizer Store
648,17137,Video Store
649,17138,Vintage and Thrift Store
650,17139,Warehouse / Wholesale Store
651,18001,Athletic Field
652,18002,Baseball
653,18003,Baseball Club
654,18004,Baseball Field
655,18005,Batting Range
656,18006,Basketball
657,18007,Basketball Club
658,18008,Basketball Court
659,18009,Bowling Green
660,18010,Cricket Ground
661,18011,Curling Ice
662,18012,Equestrian Facility
663,18013,Football
664,18014,Football Club
665,18015,Football Field
666,18016,Golf
667,18017,Golf Club
668,18018,Golf Course
669,18019,Golf Driving Range
670,18020,Gun Range
671,18021,Gym and Studio
672,18022,Boxing Gym
673,18023,Climbing Gym
674,18024,Cycle Studio
675,18025,Dance Studio
676,18026,Outdoor Gym
677,18027,Pilates Studio
678,18028,Yoga Studio
679,18029,Gymnastics
680,18030,Gymnastics Center
681,18031,Hockey
682,18032,Hockey Club
683,18033,Hockey Field
684,18034,Hockey Rink
685,18035,Indoor Play Area
686,18036,Martial Arts Dojo
687,18037,Paintball Field
688,18038,Personal Trainer
689,18039,Race Track
690,18040,Racquet Sports
691,18041,Badminton Court
692,18042,Racquet Sport Club
693,18043,Racquetball Club
694,18044,Squash Court
695,18045,Tennis
696,18046,Tennis Club
697,18047,Tennis Court
698,18048,Recreation Center
699,18049,Rugby
700,18050,Rugby Pitch
701,18051,Running and Track
702,18052,Running Club
703,18053,Track
704,18054,Skating
705,18055,Skate Park
706,18056,Skating Rink
707,18057,Skydiving Center
708,18058,Snow Sports
709,18059,Ski Chalet
710,18060,Ski Lodge
711,18061,Ski Resorts and Areas
712,18062,Soccer
713,18063,Soccer Club
714,18064,Soccer Field
715,18065,Sports Club
716,18066,Volleyball Court
717,18067,Water Sports
718,18068,Canoe and Kayak Rental
719,18069,Rafting Outfitter
720,18070,Sailing Club
721,18071,Scuba Diving Instructor
722,18072,Surfing
723,18073,Swimming
724,18076,Swim School
725,18074,Swimming Club
726,18075,Swimming Pool
727,19001,Baggage Locker
728,19002,Bike Rental
729,19003,Boat Rental
730,19004,Border Crossing
731,19005,Cruise
732,19006,Electric Vehicle Charging Station
733,19007,Fuel Station
734,19008,Hot Air Balloon Tour Agency
735,19009,Lodging
736,19010,Bed and Breakfast
737,19011,Boarding House
738,19012,Cottage / Cabin
739,19013,Hostel
740,19014,Hotel
741,19015,Inn
742,19016,Lodge
743,19017,Motel
744,19018,Resort
745,19019,Vacation Rental
746,19020,Parking
747,19021,Pier
748,19022,Platform
749,19023,Port
750,19024,Rest Area
751,19025,RV Park
752,19026,Toll Booth
753,19027,Toll Plaza
754,19028,Tourist Information and Service
755,19029,Tour Provider
756,19030,Transport Hub
757,19031,Travel and Transportation
758,19032,Airfield
759,19033,Airport Food Court
760,19034,Airport Gate
761,19035,Airport Lounge
762,19036,Airport Service
763,19037,Airport Terminal
764,19038,Airport Tram Station
765,19039,Baggage Claim
766,19040,International Airport
767,19041,Private Airport
768,19042,Bus Station
769,19043,Bus Stop
770,19044,Heliport
771,19045,Marine Terminal
772,19046,Metro Station
773,19047,Rail Station
774,19048,Rental Car Location
775,19049,Taxi Stand
776,19050,Tram Station
777,19051,Transportation Service
778,19052,Charter Bus
779,19053,Limo / Chauffeur
780,19054,Public Transportation
781,19055,Travel Agency
782,19056,Travel Lounge
